Unnamed: 0,questionID,questionTitle,questionText,questionLink,topic,therapistInfo,therapistURL,answerText,upvotes,views,score
194,696,My wife is cheating and won’t tell me the truth,"I found out today that my wife is cheating on me. I love her, but she won’t tell the truth even when I have proof. When I beg her to tell the truth, she yells, cusses, and gets a huge attitude.",https://counselchat.com/questions/my-wife-is-cheating-and-won-t-tell-me-the-truth,marriage,"Lynda MartensMarriage & Family Therapist, MSc, RP, RMFT",https://counselchat.com/therapists/ms-lynda-martens-london-ontario,"Hi Prattville, I'm sorry this is happening to you. You need support right now, and yes, you need answers. She is in denial and is trying to hide the truth, to protect herself. This is a natural behaviour. You don't indicate whether she wants the marriage, or is planning to leave. Which way you go from here depends in part on the answer to that question. If she wants the marriage, you certainly have the right to say ""I need answers to all my questions"". Giving you the information she needs has to be (if she wants the marriage) more important than protecting herself. I would support your right to advocate for all the information you need in order to feel secure or make decisions. She may fear that the truth will turn you away. If you want to, you can reassure her that you want the marriage no matter what the truth is. If the marriage is to survive, it needs openness.If, on the other hand, she's planning to end the marriage, then you might want to resign yourself to the fact that you may never get the information you seek. You are better off, in that case, seeking support from friends and family rather than beating on a closed door. Your wife has some decisions to make. Try to give her a bit of time to make them. You can patiently say ""I know this thing is happening. Talk to me so we can deal with it together. I want to move forward but I need the truth."" Only time (and a good therapist, if she is willing and wants the marriage) will tell which way this one will go. Individually, you can seek professional help as well.",2,915,917
620,399,What can I do if my coworkers accuse me of mood swings?,"My coworkers are making false statements about me to the boss, saying I have mood swings. They have no proof to back it up. Can my employer make me see a therapist of their choice?",https://counselchat.com/questions/what-can-i-do-if-my-coworkers-accuse-me-of-mood-swings,workplace-relationships,Sonya WilsonLicensed Professional Counselor,https://counselchat.com/therapists/sonya-wilson,"If this is a concern of a few coworkers, make sure it is not something they see but you don't admit to.  Employers can ""suggest"" or something ""stipulate"" in continued employment with them  for you to go to their Employment Assistance Provider (EAP) if they have noticed the same behavior and concerned of how it is effecting productivity or employee relationships.  No one wants to work in a environment which they consider hostile.  Employers can be held responsible if they do not take action.Couple of things you can do...Ask a coworker in which you trust and respect if what others are saying is true?Seek professional help from your primary care provider or counselor if mood swings do exist.",0,1116,1116
604,757,How can I not miss my boyfriend while he's in Ireland?,"My boyfriend is in Ireland for 11 days, and I am an emotional wreck.",https://counselchat.com/questions/how-can-i-not-miss-my-boyfriend-while-he-s-in-ireland,relationships,Laura SalinasCertified Psychoanalytic Psychotherapist,https://counselchat.com/therapists/laura-salinas,"It sounds like you and your boyfriend are very close.  Do you typically spend most of your time together?  If so, it may be important to reflect on how you feel when you are apart.  If any separation is difficult, you may need to examine why.  Think about what it is that you miss and what you are anxious, upset or worried about.  If you examine the causes of your distress you likely will experience some relief.   It is important to learn how to be happy when you are alone, it will only improve the way you feel when you are with your boyfriend.",0,63,63
849,249,I think my daughter is stressing too much,"When my daughter is stressed about a silly thing from school, she starts crying and freaking out. She is a bright student, always has a 4.0, but I am afraid she is stressing too much. I’m afraid it’s going to break her. I don't know if I should get her to a doctor or someone because this is not normal.",https://counselchat.com/questions/i-think-my-daughter-is-stressing-too-much,parenting,Daniel Kelley-PetersenMental Health and Career Counselor,https://counselchat.com/therapists/daniel-kelley-petersen,"Watching children go through challenges in their lives is difficult. On a very basic level, There exists a primal need to protect them from harm. The hard part for parents is letting them feel those challenges and working through them as they get older. At some point, there is a moment that occurs when the role as a parent shifts. Children no longer need the basics (food, shelter. water, safety) as much as when they were toddlers, but rather, their needs shift to wanting more support, encouragement, advice, and room to make mistakes. This is where the ability to communicate with them, letting them direct the sails to gather the wind needed to move, is so important. Keep the lines of communication open and be available to give feedback when they ask for it.",4,8248,8252
558,636,My sister and my husband had an affair,"It was over 20 years ago, but the pain has resurfaced again now because I have started seeing her Facebook posts about how great her life is. I feel so angry. How can I handle this?",https://counselchat.com/questions/my-sister-and-my-husband-had-an-affair,family-conflict,"Lynda MartensMarriage & Family Therapist, MSc, RP, RMFT",https://counselchat.com/therapists/ms-lynda-martens-london-ontario,"Emotional pain is different from physical pain that way, isn't it? Even many years later, an old wound can be ripped open again by a small trigger.You were betrayed by two people close to you. That's a complex injury. I don't know whether you're still in the marriage or not, or whether your sister is still in your life. Perhaps not, as your contact with her seems to be through watching her facebook activity. I'm curious about why you're just now seeing her facebook posts again. Are you feeling more open lately to seeing how she's doing in her life? I guess if you were open to having your sister even in the periphery of your life again, you will have to figure out how to handle those triggers. If you can't, maybe consider unfollowing her or detaching from facebook for a while. So your sister is happy, or she at least appears happy. Your mind might go to some unhelpful places, like ""She doesn't regret the affair"" (you don't know that), ""She doesn't deserve happiness"" (that would be a harsh judgement), or ""She doesn't care that I'm hurt"" (again, there's no evidence of that). Where does your mind go? It's important to identify your worst thoughts in connection to her. When you have those worst thoughts identified, ask yourself ""What evidence supports that thought as truth?"" It's likely that either there's no evidence, or that the truth is so far from you that you can't know what she's feeling or thinking, which makes having those thoughts pretty futile.A therapist can help you determine what emotions are being triggered here. It doesn't help you and your happiness to carry around resentment, ill wishes, or the need for revenge. Forgiveness is not about saying that something was ""okay"". It's about saying ""It happened. I accept that I can't change it, and I don't want to carry the emotional burden around all the time"". Forgiveness is putting it down. She... (trust me this is true)...she carries her own burden of shame for what she did. For you to spend time feeling angry doesn't affect her burden. It only adds to yours. Can you find the tender emotion under your anger? You're hurt. Validate that hurt. Honour that hurt. Take care of that hurt. You can stay away from people who disregard your needs, and you have the power to forgive those who make mistakes out of their simple humanity if you want them in your life. If you continue to struggle, please seek the help of a professional who can assist you in navigating these waters. :)",1,1364,1365
364,872,I've been having breakdowns for no reason at all,"I start to think of an issue that doesn't even matter or something bad that happened years ago. Then, I cry, pull at my hair, plug my ears, hit myself, and throw things. In loud public places, I get on edge and start being sarcastic and moody. I have an awful fear of people leaving me (which normally ends up happening) and I feel like I'm too clingy.",https://counselchat.com/questions/i-ve-been-having-breakdowns-for-no-reason-at-all,behavioral-change,Sonya WilsonLicensed Professional Counselor,https://counselchat.com/therapists/sonya-wilson,"There is a reason you are having breakdowns. I can't agree that they happen for ""no reason at all"".   Finding out the reason is going to be your biggest challenge because that may require you to dig deep into your past, uncover hurtful experiences, or recognize something that would be extremely pain.  However, if you don't find professional help to carefully guide you through whatever you may confront, the symptoms mentioned will continue and may even get worse.  There is a light at the end of the road but you need some help to find the right road to get on so you can see it.",1,63,64
737,554,How do I fall back in love with my wife?,"My wife works late most days, so I'm lonely. I love my wife with all my heart, however I don't feel the intimacy we used to have. We don't have sex anymore, which bothers me tremendously. I have become close friends with a coworker, which I know is not helping. Nothing will happen with that, but there’s the thought.",https://counselchat.com/questions/how-do-i-fall-back-in-love-with-my-wife,intimacy,"Vivian D. Echevarria Guzman, MSC, LPC-S, NCCBilingual Licensed Professional Counselor",https://counselchat.com/therapists/vivian-d-echevarria-guzman-msc-lpc-s-ncc,"First things first!  Friendships that develop in times of struggle may be a great emotional support, but also become confusing there's sexual attraction. And entertaining a tough is only going to make it a stronger target.  Careful with that friendship! You do not want to fill your marriage's void with another person.  Even when you are in a friend zone and not having intimacy with this person, you may be developing a special bond, sharing interest and activities that may lead to a deeper connection.  Ask yourself how you would feel if your spouse was having a friendship like that.Then try to refocus on your marriage. I suggest being transparent and talking to your wife about your feelings and concerns.  Ask her what you could do to reconnect, make some suggestions and dedicate time to practice them.  Make time in both of your schedules, make an effort to have lunch together, or to text during the day.  Remember that a marriage is like a very good friendship with benefits, but sometimes the responsibility kills the fun.¿Cómo puedo volver a enamorarme de mi esposa?Mi esposa trabaja tarde casi todos los días, la amo con todo mi corazón, pero no siento la intimidad como antes.  Ya no tenemos sexo, lo cual me molesta tremendamente.  Me he acercado a una amistad del trabajo, lo cual no ayuda.  Nada pasara, pero hay pensamientos al respecto.Primero lo primero! Las amistades que se desarrollan en momentos de crisis pueden ser un gran apoyo emocional, pero también pueden convertirse en algo nebuloso cuando hay atracción sexual. Entretener pensamientos al respecto solo lo va a hacer un reto más grande.  ¡Ten cuidado con esa amistad! No quieres llenar el vacío que deja tu matrimonio con esta nueva persona.  Aunque no estés teniendo intimidad con esa persona, puedes estar creando una conexión especial, compartiendo intereses en común y actividades que los unen más aun. Pregúntate como te sentirías si tu esposa tuviera una amistad así.Intenta reenfocarte en tu matrimonio.  Sugiero que seas transparente con tu esposa y le dejes saber tu preocupación y como te sientes con el distanciamiento.  Pregúntale que le gustaría hacer para reconectarse, sugiérele algunas ideas y dediquen tiempo a las mismas.  Hagan tiempo en sus agendas para ustedes, hagan un esfuerzo para almorzar juntos, y comunicarse durante el día, aunque sea con textos.  Recuerda que el matrimonio es como una muy buena amistad con beneficios y muchas veces las responsabilidades matan la diversión.",0,111,111
614,492,Why do I always push my boyfriend away?,"My boyfriend shows affection, but I just push him away. Every time my boyfriend tries to kiss, hug, or touch me I almost always push him away. I'm on birth control and it has killed my sex drive.     I love him so much. Why do I do this?",https://counselchat.com/questions/why-do-i-always-push-my-boyfriend-away,intimacy,Erica LondonExpert Relationship Therapist,https://counselchat.com/therapists/erica-london,"There could be many reasons that you push your boyfriend away. It could be part of how you were raised, it could be because of culture, it could even be your own insecurities about yourself that are then outwardly manifested in you ""pushing"" him away. What is important in all this is that you both find a way to connect. So what if you aren't a hugger, a kisser, or a toucher you have to find what works for the both of you and your relationship. There are many ways to show affection that aren't physical (words of affirmation, giving of time and/or gifts, etc). If your boyfriend wants the physical attention then work on ways that are comfortable for the both of you making sure to start out slow and to work your way up to more physical touching.",1,857,858
303,171,I feel burned out,I haven't been feeling like myself lately. I've been upset for no reason and feeling anxious. I'm feeling burnt out. What can help me feel better?,https://counselchat.com/questions/i-feel-burned-out,anxiety,"David KleinHumanistic, LGBT-Affirmative Psychotherapy for Individuals & Couples",https://counselchat.com/therapists/david-klein,"Does it help to put a name to the experience you are having? Where you first said, ""I've been upset for no reason and feeling anxious,"" you then say that you are ""feeling burnt out,"" which gives a little more context to what may have once felt like ""no reason."" Perhaps you are feeling burnt out! That is a big deal, and please try not to take it lightly! When we get burnt out, I have found that it's from one of two things: either we are not doing what we want, or we are doing too much (either of something we want or something we don't, doesn't really matter once we get into doing too much.)If either of those rings true for your experience, try as much as possible to sit with the experience and get a better sense of where the burn out is coming from. I wrote about burnout for a newsletter and it is on my website. I don't want to do shameless promotion, but I thought it could also add to helping you: https://davidkleintherapy.com/my-experiences-with-burnout/I hope that you can also see that it's not an abnormal experience.",0,97,97
790,254,I don't know how to communicate with my adult daughter,"There is just no communication at all between us. She sleeps constantly all day (not at night). She acts angry and unfocused and stays in her very messy room all the time. The only time she comes out is to eat.    She has aches and fatigue, weight gain, hair loss and skin problems. She does not look after her health.
   I don't know how to communicate with her. She is not open to any suggestions. How do I get through to her?",https://counselchat.com/questions/i-don-t-know-how-to-communicate-with-my-adult-daughter,parenting,"Kristi King-Morgan, LMSWSocial Worker, Psychotherapist",https://counselchat.com/therapists/kristi-king-morgan-lmsw,"1. She's an adult.2. She lives in your house? She follows your rules.3. What you're describing could be any number of things, but could potentially be a medical issue that needs attention. Thyroid issues, autoimmune diseases - there's a ton of medical possibilities for her symptoms. I'm not a doctor; this is a forum of therapists.4. I recommend the book ""Codependent No More"" which may help you navigate your rocky relationship with your adult daughter. You may be inadvertently making things worse by ""helping"" her which can instead enable her to continue her behaviors. Another book you may find helpful is ""Boundaries: Where you end and I begin"". You cannot control another person, especially an adult. The only person you can control is yourself. Tough love is sometimes needed, and she is an adult - treat her like one. Maybe then she'll act like one. If we were having this conversation in person, you would interrupt me at this point with a ""but..."" and then explain all the reasons why you can't tell her to move out, get a job, get up and cook or clean the house, etc. I already know that you have a myriad of excuses for things being the way they are. Yes, I said excuses instead of reasons, because that's what they are. You may feel stuck and like you have to take care of her, but you have choices - you just may not like them. I know that when children are small, parents' lives are focused around them (some more than others) and decisions are made around what is best for your child. But you said your daughter is an adult. The relationship dynamics must change if the relationship is to be a healthy one. I know how difficult it is to watch your child make life choices that you wouldn't want for them, no matter what that choice may be. As a parent, we want to force them to do what we think is ""the right thing"" but trying to do that only results in frustrations for everyone involved. Whether the issue is a hair color, a tattoo, a lifestyle choice, a job, or choosing not to work or take care of their health, or doing drugs, or drinking - the choice is theirs and theirs alone and so are the consequences of those choices.",0,392,392
